상권_코드,상권_코드_명,kmeans_cluster,상권유형
3110942,염곡동 구룡사(포이동성당),2,쇠퇴상권
3110943,법제교육센터(버들어린이공원),2,기대상권
3110949,한남IC,1,기대상권
3110951,신사은행나무공원,2,기대상권
3110954,국기원,0,성장상권
3110955,논현초등학교,2,쇠퇴상권
3110957,언북중학교,1,기대상권
3110958,역삼역 4번,1,기대상권
3110961,언주역 3번,2,기대상권
3110965,언주역 6번,2,정체상권
3110966,논현2동주민센터,2,정체상권
3110967,역삼역 8번,2,기대상권
3110968,강남구청역 2번,1,기대상권
3110972,강남세브란스병원미래의학연구센터,2,전통강호상권
3110976,언북초등학교,2,정체상권
3110981,국악고교사거리,2,정체상권
3110983,국립국악고등학교,2,기대상권
3110984,포이초등학교(개포목련어린이공원),2,기대상권
3110985,청담근린공원,1,쇠퇴상권
3110989,대치동아우편취급국,1,기대상권
3110992,도곡초등학교,1,기대상권
3110994,개포고등학교,2,기대상권
3110996,대치2동주민센터,1,전통강호상권
3110997,대청초등학교,2,기대상권
3110998,은곡마을(은곡마을공원),0,전통강호상권
3110999,윗방죽마을공원,1,전통강호상권
3111001,아래방죽마을공원(율현초등학교),1,정체상권
3111003,삼전역 4번,0,성장상권
3111004,삼전역 1번,2,쇠퇴상권
3111005,삼전역 3번,2,쇠퇴상권
3111006,석촌고분역 1번,2,기대상권
3111007,석촌고분역 4번,2,기대상권
3111010,석촌역 7번,2,기대상권
3111012,석촌역 6번,2,쇠퇴상권
3111013,송파나루역 1번(송리단길),3,기대상권
3111015,석촌역 3번,2,쇠퇴상권
3111016,송파역 2번,2,기대상권
3111017,송파나루역 3번,2,기대상권
3111019,한성백제역 3번,2,기대상권
3111020,방이동고분군(방산고등학교),2,기대상권
3111021,방이역 4번,2,정체상권
3111022,석촌중학교(방이육교),2,기대상권
3111023,문정역 1번,2,쇠퇴상권
3111024,경찰병원역 4번(건너말공원),2,쇠퇴상권
3111025,경찰병원역 3번,2,정체상권
3111026,문정역 2번,2,기대상권
3111027,문정초등학교,2,정체상권
3111028,문현중학교(장지역 1번),2,기대상권
3111030,방이역 2번,2,쇠퇴상권
3111031,장지동주민센터(한림연예예술고교),2,기대상권
3111032,방이역 1번,1,쇠퇴상권
3111034,오동나무공원(송파레미니스1단지),2,쇠퇴상권
3111035,오금공원(오주중학교),2,쇠퇴상권
3111036,투구봉어린이공원,2,기대상권
3111038,보인중학교,2,성장상권
3111039,벌말어린이공원,2,정체상권
3111042,거여역 1번(거여공원),2,쇠퇴상권
3111044,남천초등학교,2,정체상권
3111046,마천역(마천초등학교),2,성장상권
3111048,천호역 1번(천호문구완구거리),2,기대상권
3111049,천호지구대(천호동자전거거리),2,기대상권
3111050,강동구청(강동구청역 2번),2,정체상권
3111051,천호역 6번,2,기대상권
3111052,암사역 3번(천호동자전거거리),2,쇠퇴상권
3111053,성내천어린이공원(하니사랑길),2,정체상권
3111057,천호공원(해공체육문화센터),2,쇠퇴상권
3111059,강동역 4번(강풀만화거리),2,정체상권
3111060,암사역 2번(서울강동초등학교),2,기대상권
3111061,암사역 1번,2,쇠퇴상권
3111062,둔촌동역 3번(성내3동주민센터),2,기대상권
3111064,둔촌동역 4번,2,기대상권
3111066,암사동성당(효정하나플러스아파트),2,쇠퇴상권
3111067,강동구립성내도서관,2,쇠퇴상권
3111068,강동성심병원,0,성장상권
3111069,천호1동주민센터,2,기대상권
3111071,천동초등학교,2,쇠퇴상권
3111072,굽은다리역 1번(십자성마을),2,쇠퇴상권
3111073,둔촌동역 1번(한산중학교),2,쇠퇴상권
3111076,둔촌2동주민센터,2,성장상권
3111077,길동주민센터(강동도서관),2,정체상권
3111078,굽은다리역 4번,2,기대상권
3111080,굽은다리역 3번,0,성장상권
3111083,GS강동자이아파트,0,성장상권
3111085,묘곡초등학교(고덕아이파크아파트),2,쇠퇴상권
3111086,한영중고,2,기대상권
3111087,고덕중학교(고덕2동주민센터),2,기대상권
3111088,고덕동성당,2,쇠퇴상권
3111089,상일여고(상일초등학교),2,기대상권
3120001,서대문역,2,정체상권
3120002,서촌(경복궁역),0,성장상권
3120003,광화문역,3,성장상권
3120004,종로구청,1,성장상권
3120005,삼청동,0,전통강호상권
3120006,종각역,3,성장상권
3120007,북촌(안국역),0,성장상권
3120008,인사동,0,성장상권
3120009,종로3가역,3,성장상권
3120010,원남동사거리,2,정체상권
3120011,종로4가,1,정체상권
3120012,대학로(혜화역),3,성장상권
3120013,이화사거리,0,성장상권
3120014,종로5가역,0,성장상권
3120015,종로6가,2,성장상권
3120016,동대문역,2,쇠퇴상권
3120017,동묘앞역(동묘),2,성장상권
3120018,중림동,1,성장상권
3120019,경찰청앞교차로,0,성장상권
3120020,시청역_1번,0,성장상권
3120021,시청역_8번,0,전통강호상권
3120022,북창동(시청역_6번),0,정체상권
3120023,서울시청,0,정체상권
3120024,회현역,2,기대상권
3120026,을지로입구역,0,성장상권
3120027,명동역(명동재미로),0,정체상권
3120028,명동(명동거리),3,성장상권
3120029,을지로2가,2,성장상권
3120030,중부경찰서(영화인의거리),0,성장상권
3120031,을지로3가역,3,성장상권
3120032,충무로역,3,성장상권
3120033,을지로4가역,2,기대상권
3120034,중구청(퇴계로4가),1,기대상권
3120035,퇴계로5가,2,전통강호상권
3120036,장충동족발거리(남소영길),0,성장상권
3120037,동대문역사문화공원역,3,성장상권
3120038,약수역,2,쇠퇴상권
3120039,신당역,2,기대상권
3120040,용산전자상가(용산역),1,정체상권
3120041,신용산역(용산역),3,기대상권
3120042,"숙대입구역(남영역, 남영동)",0,성장상권
3120043,서울역,0,성장상권
3120044,삼각지역,1,정체상권
3120045,남영동 먹자골목,0,성장상권
3120046,이태원(이태원역),3,성장상권
3120047,한남오거리,1,기대상권
3120048,금호역,2,정체상권
3120049,왕십리역(왕십리),2,기대상권
3120050,서울숲역,2,기대상권
3120051,뚝섬역,3,전통강호상권
3120052,성수역,0,전통강호상권
3120053,건대입구역(건대),3,성장상권
3120054,어린이대공원역,2,기대상권
3120055,군자역,2,기대상권
3120056,구의역,2,기대상권
3120057,아차산역,0,성장상권
3120058,구의사거리,2,쇠퇴상권
3120059,구삼강변맛길,1,성장상권
3120061,올림픽대교북단,2,기대상권
3120062,신설동역,2,기대상권
3120063,청량리역(청량리),2,쇠퇴상권
3120064,경희대학교(경희대),0,성장상권
3120065,회기역,2,정체상권
3120066,장한평역(장한평),2,기대상권
3120067,장안동사거리,2,기대상권
3120068,사가정역,0,정체상권
3120069,상봉역,1,기대상권
3120070,한성대입구역,2,정체상권
3120071,성북구청,2,쇠퇴상권
3120072,성신여대,3,성장상권
3120073,미아사거리,2,성장상권
